target_id,evidence_class,route_id,clock_id,native_object,projection_mapping,native_time,calendar_time,calendar_time_normalized,event_count,cumulative_volume,impact
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},57,57.344000000000001,0.224,57,0.22265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},57,57.856000000000002,0.22600000000000001,57,0.22265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},58,58.368000000000002,0.22800000000000001,58,0.2265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},58,58.880000000000003,0.23000000000000001,58,0.2265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},59,59.392000000000003,0.23200000000000001,59,0.23046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},59,59.904000000000003,0.23400000000000001,59,0.23046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},60,60.416000000000004,0.23600000000000002,60,0.234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},60,60.928000000000004,0.23800000000000002,60,0.234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},61,61.439999999999998,0.23999999999999999,61,0.23828125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},61,61.951999999999998,0.24199999999999999,61,0.23828125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},62,62.463999999999999,0.24399999999999999,62,0.2421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},62,62.975999999999999,0.246,62,0.2421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},63,63.488,0.248,63,0.24609375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},64,64,0.25,64,0.25,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},64,64.512,0.252,64,0.25,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},65,65.024000000000001,0.254,65,0.25390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},65,65.536000000000001,0.25600000000000001,65,0.25390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},66,66.048000000000002,0.25800000000000001,66,0.2578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},66,66.560000000000002,0.26000000000000001,66,0.2578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},67,67.072000000000003,0.26200000000000001,67,0.26171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},67,67.584000000000003,0.26400000000000001,67,0.26171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},68,68.096000000000004,0.26600000000000001,68,0.265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},68,68.608000000000004,0.26800000000000002,68,0.265625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},69,69.120000000000005,0.27000000000000002,69,0.26953125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},69,69.632000000000005,0.27200000000000002,69,0.26953125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},70,70.144000000000005,0.27400000000000002,70,0.2734375,
