target_id,evidence_class,alpha_L,lag,C_exact,C_mc_mean,C_mc_sd,absolute_error
F03,diagnostic_simulation,1.5,42,0.078752278992759175,0.08584444224004395,0.030390462914727429,0.0070921632472847745
F03,diagnostic_simulation,1.5,43,0.077831294732484013,0.084956753312654273,0.029795145002882967,0.0071254585801702602
F03,diagnostic_simulation,1.5,44,0.076941881831750616,0.083579740557039303,0.031056427070020973,0.0066378587252886867
F03,diagnostic_simulation,1.5,45,0.07608227692376146,0.082731143575519181,0.031671623779420115,0.0066488666517577205
F03,diagnostic_simulation,1.5,46,0.075250851506404537,0.081091805355248806,0.030894802931259142,0.0058409538488442686
F03,diagnostic_simulation,1.5,47,0.074446098964917273,0.080174515541955843,0.030744053304383002,0.0057284165770385698
F03,diagnostic_simulation,1.5,48,0.073666623088754907,0.079835251205665092,0.030722949572409279,0.0061686281169101853
F03,diagnostic_simulation,1.5,49,0.072911127883522955,0.079760201453671381,0.031055264828247765,0.0068490735701484257
F03,diagnostic_simulation,1.5,50,0.072178408508837832,0.079206315291460314,0.031692350918496731,0.0070279067826224811
F03,diagnostic_simulation,1.5,51,0.071467343197962274,0.078580885410903772,0.031951384723345133,0.0071135422129414982
F03,diagnostic_simulation,1.5,52,0.070776886035949074,0.078699464310242218,0.030732763411846477,0.0079225782742931433
F03,diagnostic_simulation,1.5,53,0.07010606049054266,0.077086775204032176,0.031351384779578037,0.0069807147134895164
F03,diagnostic_simulation,1.5,54,0.069453953604837942,0.076239078179251393,0.030792387014960662,0.0067851245744134508
F03,diagnostic_simulation,1.5,55,0.068819710773159043,0.075787232581298714,0.030473189023955616,0.0069675218081396706
F03,diagnostic_simulation,1.5,56,0.068202531032180699,0.075038727450322029,0.029821023503059842,0.0068361964181413298
F03,diagnostic_simulation,1.5,57,0.06760166280829466,0.073994513272310339,0.030879869100557993,0.0063928504640156786
F03,diagnostic_simulation,1.5,58,0.067016400069886586,0.073641858016071066,0.030613920717508705,0.0066254579461844793
F03,diagnostic_simulation,1.5,59,0.06644607883973519,0.073496193982868149,0.030960464258798195,0.0070501151431329595
F03,diagnostic_simulation,1.5,60,0.06589007402836955,0.073034790372552311,0.030014918911655475,0.007144716344182761
F03,diagnostic_simulation,1.5,61,0.065347796554052665,0.072658280010531012,0.02971154844483772,0.0073104834564783477
F03,diagnostic_simulation,1.5,62,0.064818690719226954,0.071587327630283651,0.028955990395637256,0.0067686369110566968
F03,diagnostic_simulation,1.5,63,0.064302231816862898,0.071296660192841144,0.029053375330403745,0.0069944283759782455
F03,diagnostic_simulation,1.5,64,0.063797923943276436,0.071149076617826615,0.029729225859472734,0.0073511526745501793
F03,diagnostic_simulation,1.5,65,0.063305297996691781,0.070181128590997371,0.029160493747249036,0.0068758305943055903
F03,diagnostic_simulation,1.5,66,0.062823909843192943,0.069375338639641626,0.028898719662259646,0.0065514287964486828
F03,diagnostic_simulation,1.5,67,0.062353338633765056,0.06912186113241528,0.028779585899961737,0.0067685224986502243
F03,diagnostic_simulation,1.5,68,0.061893185257936328,0.069227056273752655,0.028590120461124819,0.0073338710158163262
F03,diagnostic_simulation,1.5,69,0.061443070921105111,0.068560526566822461,0.02879475868412306,0.0071174556457173493
F03,diagnostic_simulation,1.5,70,0.061002635834029741,0.067908300708960062,0.0288277472579745,0.0069056648749303215
F03,diagnostic_simulation,1.5,71,0.060571538004179457,0.067899020501921217,0.02917375459131322,0.0073274824977417607
F03,diagnostic_simulation,1.5,72,0.060149452119717041,0.06690718581153271,0.028941073429935214,0.0067577336918156691
F03,diagnostic_simulation,1.5,73,0.059736068517842661,0.06676816587871226,0.028942801826544271,0.0070320973608695991
F03,diagnostic_simulation,1.5,74,0.05933109223006152,0.066930591063456335,0.029030914913275824,0.0075994988333948146
F03,diagnostic_simulation,1.5,75,0.05893424209768873,0.066620813602524517,0.028205949976268029,0.0076865715048357874
F03,diagnostic_simulation,1.5,76,0.0585452499515665,0.065839782041302267,0.029396639288008296,0.0072945320897357668
F03,diagnostic_simulation,1.5,77,0.058163859850554341,0.066324642171658385,0.028793825893447898,0.0081607823211040445
F03,diagnostic_simulation,1.5,78,0.057789827373881102,0.066170354032953529,0.027939418136593348,0.0083805266590724278
F03,diagnostic_simulation,1.5,79,0.057422918962913377,0.065282468089977674,0.027630850820218107,0.007859549127064297
F03,diagnostic_simulation,1.5,80,0.057062911308313112,0.064939289639172101,0.028351074373841465,0.0078763783308589894
F03,diagnostic_simulation,1.5,81,0.056709590778931313,0.064586568878475789,0.027905648268057998,0.0078769780995444766
F03,diagnostic_simulation,1.5,82,0.05636275288911996,0.064789057551266488,0.028165438727044786,0.0084263046621465276
F03,diagnostic_simulation,1.5,83,0.056022201801445293,0.06491618363663422,0.028396302209839897,0.0088939818351889272
F03,diagnostic_simulation,1.5,84,0.055687749862053874,0.064512897809661907,0.027459369977967461,0.0088251479476080322
